"x" "y" "Se"
"124" 333.1530124 1250.231632 0.019
"125" 330.2356771 1250.701577 0.104
"126" 326.2249949 1264.994344 0.016
"127" 336.8246542 1271.71311 0.042
"128" 282.3202724 1306.146432 0.028
"129" 286.6749627 1293.14733 0.031
"130" 284.8353654 1291.756898 0.043
"131" 300.6675042 1263.622186 0.025
"132" 287.8895224 1181.165621 0.014
"133" 325.4134204 1189.806398 0.033
"134" 445.0157625 1281.109633 0.143
"135" 433.7153011 1263.017214 0.042
"136" 524.4826109 1321.652603 0.15
"137" 507.8221256 1320.510312 0.097
"138" 559.9262997 1305.88889 0.27
"139" 574.1901224 1289.347878 0.907
"140" 558.6519975 1317.526071 0.406
"141" 548.6103751 1315.40495 0.14
"142" 582.1289719 1218.667081 0.661
"143" 580.504336 1219.298276 0.053
"144" 306.8837937 1265.706285 0.013
"145" 580.6184055 1201.11766 0.24
